"Question_chr","Answer_1_dbl","Answer_2_dbl","Answer_3_dbl","Answer_4_dbl","Answer_5_dbl","Answer_6_dbl"
"Q1",0,0.073,0.435,0.82,1,NA
"Q2",0,0.033,0.24,0.471,0.84,1
"Q3",0,0.041,0.251,0.57,0.83,1
"Q4",0,0.04,0.297,0.797,1,NA
"Q5",0,0.074,0.461,0.841,1,NA
"Q6",0,0.193,0.759,1,NA,NA
"Q7",0,0.197,0.648,1,NA,NA
"Q8",0,0.133,0.392,0.838,1,NA
"Q9",0,0.142,0.392,0.824,1,NA
"Q10",0,0.097,0.33,0.784,1,NA
"Q11",0,0.064,0.368,0.837,1,NA
"Q12",0,0.056,0.338,0.722,1,NA
"Q13",0,0.055,0.382,0.774,1,NA
"Q14",0,0.057,0.423,0.826,1,NA
"Q15",0,0.133,0.642,1,NA,NA
"Q16",0,0.2,0.758,1,NA,NA
"Q17",0,0.072,0.338,0.752,1,NA
"Q18",0,0.033,0.223,0.621,0.843,1
"Q19",0,0.024,0.205,0.586,0.826,1
"Q20",0,0.187,0.695,1,NA,NA
